rank,ticker,beta,avg_ret_pct,n_blocks,quadrant,regime
1,USO,0.28,11.2,14,RF,리플레이션(실질↑BEI↑)
2,KRE,0.24,8.6,14,RF,리플레이션(실질↑BEI↑)
3,KBE,0.22,8.3,14,RF,리플레이션(실질↑BEI↑)
4,FCG,0.19,8.6,14,RF,리플레이션(실질↑BEI↑)
5,BETZ,0.17,3.6,9,RF,리플레이션(실질↑BEI↑)
6,BLOK,0.17,7.1,11,RF,리플레이션(실질↑BEI↑)
7,JETS,0.16,6.7,14,RF,리플레이션(실질↑BEI↑)
8,XLF,0.15,6.4,14,RF,리플레이션(실질↑BEI↑)
9,OIH,0.15,7.6,14,RF,리플레이션(실질↑BEI↑)
10,XLE,0.14,6.8,14,RF,리플레이션(실질↑BEI↑)
11,XRT,0.14,5.0,14,RF,리플레이션(실질↑BEI↑)
12,PEJ,0.13,5.0,14,RF,리플레이션(실질↑BEI↑)
13,FNGS,0.13,6.3,9,RF,리플레이션(실질↑BEI↑)
14,QTUM,0.12,5.2,10,RF,리플레이션(실질↑BEI↑)
15,XME,0.12,4.3,14,RF,리플레이션(실질↑BEI↑)
16,SOXX,0.12,3.6,14,RF,리플레이션(실질↑BEI↑)
17,BITO,0.12,5.0,6,RF,리플레이션(실질↑BEI↑)
18,IJR,0.11,3.1,14,RF,리플레이션(실질↑BEI↑)
19,SKYY,0.1,4.2,14,RF,리플레이션(실질↑BEI↑)
20,IWM,0.1,2.7,14,RF,리플레이션(실질↑BEI↑)
21,DRIV,0.1,1.3,10,RF,리플레이션(실질↑BEI↑)
22,FDN,0.1,4.0,14,RF,리플레이션(실질↑BEI↑)
23,IYT,0.1,3.1,14,RF,리플레이션(실질↑BEI↑)
24,GRID,0.09,1.7,14,RF,리플레이션(실질↑BEI↑)
25,IJH,0.08,2.7,14,RF,리플레이션(실질↑BEI↑)
26,XLI,0.08,2.8,14,RF,리플레이션(실질↑BEI↑)
27,XLY,0.08,2.6,14,RF,리플레이션(실질↑BEI↑)
28,KIE,0.08,3.9,14,RF,리플레이션(실질↑BEI↑)
29,IGV,0.07,2.3,14,RF,리플레이션(실질↑BEI↑)
30,QQQ,0.07,2.5,14,RF,리플레이션(실질↑BEI↑)
31,XLK,0.07,2.3,14,RF,리플레이션(실질↑BEI↑)
32,FIW,0.06,1.3,14,RF,리플레이션(실질↑BEI↑)
33,SPY,0.06,2.0,14,RF,리플레이션(실질↑BEI↑)
34,PBW,0.06,-2.7,14,RF,리플레이션(실질↑BEI↑)
35,ITA,0.06,2.1,14,RF,리플레이션(실질↑BEI↑)
36,COPX,0.06,2.6,14,RF,리플레이션(실질↑BEI↑)
37,XLC,0.06,3.4,10,RF,리플레이션(실질↑BEI↑)
38,XLB,0.06,1.0,14,RF,리플레이션(실질↑BEI↑)
39,FINX,0.06,0.8,14,RF,리플레이션(실질↑BEI↑)
40,ROBO,0.05,-0.1,14,RF,리플레이션(실질↑BEI↑)
41,CIBR,0.05,1.9,14,RF,리플레이션(실질↑BEI↑)
42,ARTY,0.05,0.7,10,RF,리플레이션(실질↑BEI↑)
43,DIA,0.05,1.8,14,RF,리플레이션(실질↑BEI↑)
44,XHB,0.03,0.8,14,RF,리플레이션(실질↑BEI↑)
45,NLR,0.03,2.9,14,RF,리플레이션(실질↑BEI↑)
46,PBJ,0.02,0.0,14,RF,리플레이션(실질↑BEI↑)
47,XBI,0.02,-1.4,14,RF,리플레이션(실질↑BEI↑)
48,IHI,0.01,-1.7,14,RF,리플레이션(실질↑BEI↑)
49,ITB,0.0,-0.4,14,RF,리플레이션(실질↑BEI↑)
50,IYZ,0.0,-1.1,14,RF,리플레이션(실질↑BEI↑)
51,TAN,-0.01,-6.9,14,RF,리플레이션(실질↑BEI↑)
52,XLV,-0.02,-1.5,14,RF,리플레이션(실질↑BEI↑)
53,IHE,-0.03,-2.2,14,RF,리플레이션(실질↑BEI↑)
54,UNG,-0.03,-3.2,14,RF,리플레이션(실질↑BEI↑)
55,XLP,-0.04,-2.6,14,RF,리플레이션(실질↑BEI↑)
56,XLU,-0.04,-3.3,14,RF,리플레이션(실질↑BEI↑)
57,REZ,-0.07,-4.6,14,RF,리플레이션(실질↑BEI↑)
58,XLRE,-0.09,-5.7,14,RF,리플레이션(실질↑BEI↑)
59,GLD,-0.1,-3.8,14,RF,리플레이션(실질↑BEI↑)
60,RNRG,-0.11,-8.2,14,RF,리플레이션(실질↑BEI↑)
61,SRVR,-0.13,-8.3,10,RF,리플레이션(실질↑BEI↑)
62,SLV,-0.15,-5.7,14,RF,리플레이션(실질↑BEI↑)
63,SIL,-0.22,-10.0,14,RF,리플레이션(실질↑BEI↑)
64,GDX,-0.24,-10.3,14,RF,리플레이션(실질↑BEI↑)
