rank,ticker,beta,avg_ret_pct,n_blocks,quadrant,regime
1,BLOK,0.7,25.0,7,ST,스태그·완화기대(실질↓BEI↑)
2,COPX,0.56,20.4,9,ST,스태그·완화기대(실질↓BEI↑)
3,SIL,0.54,24.6,9,ST,스태그·완화기대(실질↓BEI↑)
4,PBW,0.54,24.4,9,ST,스태그·완화기대(실질↓BEI↑)
5,GDX,0.49,22.3,9,ST,스태그·완화기대(실질↓BEI↑)
6,TAN,0.48,24.1,9,ST,스태그·완화기대(실질↓BEI↑)
7,ARTY,0.46,15.9,7,ST,스태그·완화기대(실질↓BEI↑)
8,SOXX,0.44,16.1,9,ST,스태그·완화기대(실질↓BEI↑)
9,FNGS,0.44,13.4,6,ST,스태그·완화기대(실질↓BEI↑)
10,XME,0.44,16.7,9,ST,스태그·완화기대(실질↓BEI↑)
11,QTUM,0.44,16.2,7,ST,스태그·완화기대(실질↓BEI↑)
12,DRIV,0.42,14.6,7,ST,스태그·완화기대(실질↓BEI↑)
13,SLV,0.38,18.0,9,ST,스태그·완화기대(실질↓BEI↑)
14,XLK,0.32,13.6,9,ST,스태그·완화기대(실질↓BEI↑)
15,ROBO,0.31,11.0,9,ST,스태그·완화기대(실질↓BEI↑)
16,GRID,0.31,11.7,9,ST,스태그·완화기대(실질↓BEI↑)
17,QQQ,0.28,12.5,9,ST,스태그·완화기대(실질↓BEI↑)
18,NLR,0.28,10.1,9,ST,스태그·완화기대(실질↓BEI↑)
19,FINX,0.26,10.4,9,ST,스태그·완화기대(실질↓BEI↑)
20,FDN,0.26,11.4,9,ST,스태그·완화기대(실질↓BEI↑)
21,SKYY,0.25,12.1,9,ST,스태그·완화기대(실질↓BEI↑)
22,CIBR,0.25,11.6,9,ST,스태그·완화기대(실질↓BEI↑)
23,XBI,0.23,9.0,9,ST,스태그·완화기대(실질↓BEI↑)
24,IGV,0.23,12.1,9,ST,스태그·완화기대(실질↓BEI↑)
25,GLD,0.23,11.1,9,ST,스태그·완화기대(실질↓BEI↑)
26,RNRG,0.22,8.6,9,ST,스태그·완화기대(실질↓BEI↑)
27,SRVR,0.21,8.3,7,ST,스태그·완화기대(실질↓BEI↑)
28,XLY,0.2,7.6,9,ST,스태그·완화기대(실질↓BEI↑)
29,XLC,0.2,8.9,7,ST,스태그·완화기대(실질↓BEI↑)
30,XRT,0.2,8.0,9,ST,스태그·완화기대(실질↓BEI↑)
31,IWM,0.19,5.6,9,ST,스태그·완화기대(실질↓BEI↑)
32,OIH,0.19,4.7,9,ST,스태그·완화기대(실질↓BEI↑)
33,BITO,0.19,1.5,3,ST,스태그·완화기대(실질↓BEI↑)
34,SPY,0.18,6.8,9,ST,스태그·완화기대(실질↓BEI↑)
35,XHB,0.18,6.8,9,ST,스태그·완화기대(실질↓BEI↑)
36,ITA,0.17,3.8,9,ST,스태그·완화기대(실질↓BEI↑)
37,BETZ,0.17,3.2,6,ST,스태그·완화기대(실질↓BEI↑)
38,ITB,0.16,6.9,9,ST,스태그·완화기대(실질↓BEI↑)
39,IJR,0.15,4.1,9,ST,스태그·완화기대(실질↓BEI↑)
40,FIW,0.15,5.5,9,ST,스태그·완화기대(실질↓BEI↑)
41,XLI,0.14,3.9,9,ST,스태그·완화기대(실질↓BEI↑)
42,IJH,0.14,4.1,9,ST,스태그·완화기대(실질↓BEI↑)
43,FCG,0.13,5.4,9,ST,스태그·완화기대(실질↓BEI↑)
44,PEJ,0.13,1.0,9,ST,스태그·완화기대(실질↓BEI↑)
45,USO,0.13,2.1,9,ST,스태그·완화기대(실질↓BEI↑)
46,XLB,0.12,4.4,9,ST,스태그·완화기대(실질↓BEI↑)
47,XLRE,0.12,3.8,9,ST,스태그·완화기대(실질↓BEI↑)
48,IYT,0.12,3.2,9,ST,스태그·완화기대(실질↓BEI↑)
49,DIA,0.11,3.5,9,ST,스태그·완화기대(실질↓BEI↑)
50,IHI,0.11,5.6,9,ST,스태그·완화기대(실질↓BEI↑)
51,IHE,0.11,4.8,9,ST,스태그·완화기대(실질↓BEI↑)
52,IYZ,0.11,3.5,9,ST,스태그·완화기대(실질↓BEI↑)
53,REZ,0.09,1.6,9,ST,스태그·완화기대(실질↓BEI↑)
54,XLV,0.09,4.3,9,ST,스태그·완화기대(실질↓BEI↑)
55,XLF,0.08,1.0,9,ST,스태그·완화기대(실질↓BEI↑)
56,KRE,0.07,-1.0,9,ST,스태그·완화기대(실질↓BEI↑)
57,KBE,0.07,-0.9,9,ST,스태그·완화기대(실질↓BEI↑)
58,XLU,0.06,2.3,9,ST,스태그·완화기대(실질↓BEI↑)
59,PBJ,0.06,2.0,9,ST,스태그·완화기대(실질↓BEI↑)
60,JETS,0.05,-4.6,9,ST,스태그·완화기대(실질↓BEI↑)
61,XLE,0.04,0.4,9,ST,스태그·완화기대(실질↓BEI↑)
62,XLP,0.03,1.4,9,ST,스태그·완화기대(실질↓BEI↑)
63,KIE,0.01,-1.5,9,ST,스태그·완화기대(실질↓BEI↑)
64,UNG,-0.14,-5.0,9,ST,스태그·완화기대(실질↓BEI↑)
