rank,ticker,beta,avg_ret_pct,n_blocks,quadrant,regime
1,SOXX,0.16,2.3,10,TG,긴축·디스인플레(실질↑BEI↓)
2,IHE,0.15,2.7,10,TG,긴축·디스인플레(실질↑BEI↓)
3,SLV,0.15,-0.5,10,TG,긴축·디스인플레(실질↑BEI↓)
4,XLV,0.15,2.9,10,TG,긴축·디스인플레(실질↑BEI↓)
5,XBI,0.15,-1.1,10,TG,긴축·디스인플레(실질↑BEI↓)
6,ITA,0.12,1.5,10,TG,긴축·디스인플레(실질↑BEI↓)
7,KIE,0.1,2.4,10,TG,긴축·디스인플레(실질↑BEI↓)
8,XLF,0.09,0.7,10,TG,긴축·디스인플레(실질↑BEI↓)
9,JETS,0.09,0.8,10,TG,긴축·디스인플레(실질↑BEI↓)
10,COPX,0.09,0.0,10,TG,긴축·디스인플레(실질↑BEI↓)
11,DIA,0.09,1.3,10,TG,긴축·디스인플레(실질↑BEI↓)
12,XLK,0.08,0.7,10,TG,긴축·디스인플레(실질↑BEI↓)
13,XLI,0.07,0.2,10,TG,긴축·디스인플레(실질↑BEI↓)
14,IHI,0.07,-0.8,10,TG,긴축·디스인플레(실질↑BEI↓)
15,QTUM,0.06,-0.7,6,TG,긴축·디스인플레(실질↑BEI↓)
16,IYT,0.06,-0.6,10,TG,긴축·디스인플레(실질↑BEI↓)
17,GLD,0.05,-0.2,10,TG,긴축·디스인플레(실질↑BEI↓)
18,ROBO,0.04,-2.2,10,TG,긴축·디스인플레(실질↑BEI↓)
19,QQQ,0.04,-1.2,10,TG,긴축·디스인플레(실질↑BEI↓)
20,CIBR,0.04,0.0,10,TG,긴축·디스인플레(실질↑BEI↓)
21,XLP,0.04,1.0,10,TG,긴축·디스인플레(실질↑BEI↓)
22,SPY,0.04,-0.4,10,TG,긴축·디스인플레(실질↑BEI↓)
23,GDX,0.02,-2.5,10,TG,긴축·디스인플레(실질↑BEI↓)
24,XLU,0.02,0.1,10,TG,긴축·디스인플레(실질↑BEI↓)
25,IGV,0.02,-2.1,10,TG,긴축·디스인플레(실질↑BEI↓)
26,KBE,0.01,-1.7,10,TG,긴축·디스인플레(실질↑BEI↓)
27,KRE,0.0,-2.0,10,TG,긴축·디스인플레(실질↑BEI↓)
28,RNRG,-0.01,-2.5,10,TG,긴축·디스인플레(실질↑BEI↓)
29,IJH,-0.01,-2.1,10,TG,긴축·디스인플레(실질↑BEI↓)
30,XLB,-0.01,-1.5,10,TG,긴축·디스인플레(실질↑BEI↓)
31,XME,-0.01,-2.8,10,TG,긴축·디스인플레(실질↑BEI↓)
32,TAN,-0.01,-4.6,10,TG,긴축·디스인플레(실질↑BEI↓)
33,ARTY,-0.02,-3.9,8,TG,긴축·디스인플레(실질↑BEI↓)
34,FIW,-0.02,-2.9,10,TG,긴축·디스인플레(실질↑BEI↓)
35,GRID,-0.02,-2.6,10,TG,긴축·디스인플레(실질↑BEI↓)
36,IJR,-0.02,-2.6,10,TG,긴축·디스인플레(실질↑BEI↓)
37,SIL,-0.02,-4.6,10,TG,긴축·디스인플레(실질↑BEI↓)
38,SKYY,-0.02,-3.6,10,TG,긴축·디스인플레(실질↑BEI↓)
39,IWM,-0.03,-3.2,10,TG,긴축·디스인플레(실질↑BEI↓)
40,REZ,-0.04,-2.7,10,TG,긴축·디스인플레(실질↑BEI↓)
41,XLY,-0.04,-3.8,10,TG,긴축·디스인플레(실질↑BEI↓)
42,DRIV,-0.04,-4.4,8,TG,긴축·디스인플레(실질↑BEI↓)
43,ITB,-0.04,-3.7,10,TG,긴축·디스인플레(실질↑BEI↓)
44,PBW,-0.05,-7.5,10,TG,긴축·디스인플레(실질↑BEI↓)
45,XHB,-0.05,-3.7,10,TG,긴축·디스인플레(실질↑BEI↓)
46,XLE,-0.06,0.1,10,TG,긴축·디스인플레(실질↑BEI↓)
47,NLR,-0.06,-3.6,10,TG,긴축·디스인플레(실질↑BEI↓)
48,PEJ,-0.06,-3.7,10,TG,긴축·디스인플레(실질↑BEI↓)
49,IYZ,-0.07,-3.8,10,TG,긴축·디스인플레(실질↑BEI↓)
50,XLRE,-0.07,-3.4,10,TG,긴축·디스인플레(실질↑BEI↓)
51,PBJ,-0.07,-1.8,10,TG,긴축·디스인플레(실질↑BEI↓)
52,FINX,-0.08,-6.8,10,TG,긴축·디스인플레(실질↑BEI↓)
53,FDN,-0.08,-5.9,10,TG,긴축·디스인플레(실질↑BEI↓)
54,FNGS,-0.12,-7.3,6,TG,긴축·디스인플레(실질↑BEI↓)
55,OIH,-0.14,-4.8,10,TG,긴축·디스인플레(실질↑BEI↓)
56,XRT,-0.14,-6.6,10,TG,긴축·디스인플레(실질↑BEI↓)
57,XLC,-0.15,-7.6,8,TG,긴축·디스인플레(실질↑BEI↓)
58,UNG,-0.16,0.2,10,TG,긴축·디스인플레(실질↑BEI↓)
59,SRVR,-0.16,-6.9,8,TG,긴축·디스인플레(실질↑BEI↓)
60,FCG,-0.18,-3.3,10,TG,긴축·디스인플레(실질↑BEI↓)
61,USO,-0.19,-3.8,10,TG,긴축·디스인플레(실질↑BEI↓)
62,BETZ,-0.21,-11.2,6,TG,긴축·디스인플레(실질↑BEI↓)
63,BLOK,-0.21,-13.5,8,TG,긴축·디스인플레(실질↑BEI↓)
64,BITO,-0.48,-22.9,6,TG,긴축·디스인플레(실질↑BEI↓)
