quadrant,regime,ticker,beta,avg_ret_pct,n_blocks,rank
RF,리플레이션(실질↑BEI↑),USO,0.28,11.2,14,1
RF,리플레이션(실질↑BEI↑),KRE,0.24,8.6,14,2
RF,리플레이션(실질↑BEI↑),KBE,0.22,8.3,14,3
RF,리플레이션(실질↑BEI↑),FCG,0.19,8.6,14,4
RF,리플레이션(실질↑BEI↑),BETZ,0.17,3.6,9,5
RF,리플레이션(실질↑BEI↑),BLOK,0.17,7.1,11,6
RF,리플레이션(실질↑BEI↑),JETS,0.16,6.7,14,7
RF,리플레이션(실질↑BEI↑),XLF,0.15,6.4,14,8
RF,리플레이션(실질↑BEI↑),OIH,0.15,7.6,14,9
RF,리플레이션(실질↑BEI↑),XLE,0.14,6.8,14,10
RF,리플레이션(실질↑BEI↑),XRT,0.14,5.0,14,11
RF,리플레이션(실질↑BEI↑),PEJ,0.13,5.0,14,12
RF,리플레이션(실질↑BEI↑),FNGS,0.13,6.3,9,13
RF,리플레이션(실질↑BEI↑),QTUM,0.12,5.2,10,14
RF,리플레이션(실질↑BEI↑),XME,0.12,4.3,14,15
RF,리플레이션(실질↑BEI↑),SOXX,0.12,3.6,14,16
RF,리플레이션(실질↑BEI↑),BITO,0.12,5.0,6,17
RF,리플레이션(실질↑BEI↑),IJR,0.11,3.1,14,18
RF,리플레이션(실질↑BEI↑),SKYY,0.1,4.2,14,19
RF,리플레이션(실질↑BEI↑),IWM,0.1,2.7,14,20
RF,리플레이션(실질↑BEI↑),DRIV,0.1,1.3,10,21
RF,리플레이션(실질↑BEI↑),FDN,0.1,4.0,14,22
RF,리플레이션(실질↑BEI↑),IYT,0.1,3.1,14,23
RF,리플레이션(실질↑BEI↑),GRID,0.09,1.7,14,24
RF,리플레이션(실질↑BEI↑),IJH,0.08,2.7,14,25
RF,리플레이션(실질↑BEI↑),XLI,0.08,2.8,14,26
RF,리플레이션(실질↑BEI↑),XLY,0.08,2.6,14,27
RF,리플레이션(실질↑BEI↑),KIE,0.08,3.9,14,28
RF,리플레이션(실질↑BEI↑),IGV,0.07,2.3,14,29
RF,리플레이션(실질↑BEI↑),QQQ,0.07,2.5,14,30
RF,리플레이션(실질↑BEI↑),XLK,0.07,2.3,14,31
RF,리플레이션(실질↑BEI↑),FIW,0.06,1.3,14,32
RF,리플레이션(실질↑BEI↑),SPY,0.06,2.0,14,33
RF,리플레이션(실질↑BEI↑),PBW,0.06,-2.7,14,34
RF,리플레이션(실질↑BEI↑),ITA,0.06,2.1,14,35
RF,리플레이션(실질↑BEI↑),COPX,0.06,2.6,14,36
