date,r_base,r_mom,r_rev
2018-05-31,0.013029,0.011061,-0.004126
2018-06-01,0.009573,0.017872,-0.014547
2018-06-04,0.003598,0.003281,0.004737
2018-06-05,0.008735,0.008977,0.008889
2018-06-06,-0.013352,-0.013991,0.008944
2018-06-07,0.010731,0.013488,0.000836
2018-06-08,-0.000981,-0.002985,0.001691
2018-06-11,0.007663,0.002293,0.00713
2018-06-12,-0.013039,-0.021657,0.00808
2018-06-13,0.012628,0.010549,0.015807
2018-06-14,0.005869,0.008039,-0.004891
2018-06-15,-0.004246,-0.008395,0.003529
2018-06-18,0.001224,0.005511,-0.002082
2018-06-19,-0.000849,0.000238,-0.003876
2018-06-20,0.010785,0.009624,0.006822
2018-06-21,-0.005326,-0.015236,-0.003327
2018-06-22,0.011683,0.014235,-0.001668
2018-06-25,-0.004354,-0.008715,-0.012008
2018-06-26,-0.012719,0.003426,-0.024587
2018-06-27,0.009653,0.011979,0.004266
2018-06-28,0.006234,0.000888,0.007888
2018-06-29,0.00728,0.002834,0.01458
2018-07-02,0.008664,0.0088,-0.000337
2018-07-03,0.011681,-0.001798,0.015284
2018-07-05,-0.005181,-0.002511,0.004191
2018-07-06,-0.019835,-0.028135,-0.004193
2018-07-09,0.003294,0.007202,-0.003949
2018-07-10,0.006511,-0.004586,0.013107
2018-07-11,0.007538,0.0079,-0.002607
2018-07-12,-0.007013,0.000333,-0.001509
2018-07-13,-0.001826,-0.000325,0.004242
2018-07-16,0.001909,0.009269,-0.006948
2018-07-17,-0.002631,0.000468,0.003323
2018-07-18,-0.013393,-0.015787,-0.006448
2018-07-19,-0.002199,-0.003608,0.006568
2018-07-20,-0.004716,0.005579,-0.008639
2018-07-23,-0.007712,-0.014076,0.010793
2018-07-24,-0.002248,0.004503,0.008447
2018-07-25,-0.006654,-0.016722,0.000217
2018-07-26,0.00299,0.002934,0.00442
2018-07-27,-0.005308,-0.003509,-0.006908
2018-07-30,0.016121,0.006736,0.009419
2018-07-31,0.003092,-0.004666,0.013023
2018-08-01,-0.005648,-0.008366,0.008908
2018-08-02,-0.010084,-0.004068,-0.007958
2018-08-03,0.008329,0.008298,0.005474
2018-08-06,0.004616,0.004348,-0.003544
2018-08-07,-0.00513,-0.006059,-0.008661
2018-08-08,-0.003486,-0.007505,0.001315
2018-08-09,0.003659,0.00216,0.006568
2018-08-10,0.00788,0.016025,-0.009714
2018-08-13,0.007573,0.014829,-0.006767
2018-08-14,0.014661,0.022843,-0.04213
2018-08-15,0.007971,0.009123,0.001917
2018-08-16,-0.001742,-0.01011,0.002329
2018-08-17,-0.001973,-0.004504,0.000667
2018-08-20,0.000884,-0.006085,0.009235
2018-08-21,-0.005321,-0.020275,0.007422
2018-08-22,-0.003647,0.011049,-0.01937
2018-08-23,0.010254,-0.012299,0.016919
2018-08-24,0.003246,-0.004268,0.008407
2018-08-27,0.003972,0.0065,-0.003813
2018-08-28,-0.00351,-0.00124,-0.003565
2018-08-29,-0.00533,-0.006105,0.00233
2018-08-30,0.003892,-0.001277,0.006972
2018-08-31,-0.000595,0.013515,-0.003941
2018-09-04,0.007142,-0.01316,0.010779
2018-09-05,0.013742,0.000511,0.015589
2018-09-06,-0.00453,-0.002238,-0.002297
2018-09-07,-0.001789,0.00384,-0.002583
2018-09-10,-0.008246,-0.008657,0.001509
2018-09-11,0.005494,-0.013669,0.022057
2018-09-12,0.003002,0.00416,0.009257
