date,r_base,r_rev,r_mom,r_veto
2018-06-01,0.007491,0.00078,0.013488,0.003116
2018-06-04,0.00335,-0.001193,0.006574,-0.003668
2018-06-05,1.3e-05,0.001743,-0.000965,0.000174
2018-06-06,0.006708,0.00739,0.005395,0.006681
2018-06-08,0.005629,-0.00066,0.009903,0.002545
2018-06-11,-0.001414,0.001286,-0.003072,0.000248
2018-06-12,0.006733,0.001932,0.010099,0.005629
2018-06-13,-0.002844,0.007968,-0.009962,0.001089
2018-06-14,0.008206,0.007429,0.008854,0.009001
2018-06-15,0.001644,-0.003187,0.005259,-0.000404
2018-06-18,-0.002167,-0.002889,-0.00164,-0.002254
2018-06-19,0.004018,0.004015,0.004496,0.001971
2018-06-20,-0.000156,-0.003607,0.002404,-0.001366
2018-06-21,0.002634,0.004583,0.001302,0.005134
2018-06-22,-0.005739,0.002002,-0.01083,-0.001689
2018-06-25,0.004036,0.014572,-0.002725,0.006673
2018-06-26,-0.001713,-0.003501,-0.000165,-0.000305
2018-06-27,-0.007455,0.003544,-0.014289,-0.001744
2018-06-28,0.005274,0.001038,0.008364,0.003831
2018-06-29,0.003667,0.004204,0.003111,0.003811
2018-07-02,0.002946,-0.002645,0.006683,0.000362
2018-07-03,0.006252,0.012031,0.002455,0.007911
2018-07-05,0.002821,-0.004837,0.007657,0.00036
2018-07-06,0.000835,-0.002053,0.002879,-0.000196
2018-07-09,-0.011704,-0.013984,-0.010159,-0.014156
2018-07-10,0.000787,-0.000438,0.001477,0.001157
2018-07-11,0.008762,0.003258,0.012811,0.00611
2018-07-13,-0.002666,-0.002702,-0.001859,-0.003767
2018-07-16,0.000666,0.000489,0.001121,-0.001465
2018-07-17,0.002275,-0.006066,0.006718,0.000416
2018-07-18,-0.001739,0.002681,-0.003175,-0.000976
2018-07-20,0.001075,0.003794,-0.001664,0.003487
2018-07-23,-0.003621,-0.012789,0.003502,-0.005867
2018-07-24,-0.003319,0.008964,-0.012642,0.001866
2018-07-25,-0.000879,-0.001949,-0.000537,0.002381
