bi,enddate,ls_base_pct,ls_filt_pct,mkt_pct,n
5,2017-11-29,-2.510,-1.710,1.414,54
6,2018-02-21,6.048,2.279,0.836,54
7,2018-09-17,-1.056,-1.446,0.496,55
8,2018-10-05,-0.766,1.590,-2.156,55
9,2018-12-18,5.635,7.996,-10.500,55
10,2019-08-27,14.824,0.276,12.726,55
11,2019-11-08,2.098,1.131,5.342,60
12,2020-02-21,7.962,6.478,7.137,61
13,2020-03-09,7.031,4.538,-17.560,61
14,2020-11-02,1.598,-0.243,4.502,61
15,2021-03-31,14.374,19.929,28.255,61
16,2021-08-03,7.991,4.313,5.353,61
17,2021-10-20,-0.990,4.391,5.128,63
18,2022-01-04,-2.893,-1.210,2.676,63
19,2022-06-14,6.273,15.987,-15.436,63
20,2022-08-01,2.937,0.125,6.016,63
21,2022-09-02,0.895,1.514,-3.938,64
22,2022-10-24,4.393,9.970,-4.411,64
23,2023-01-18,-0.803,-3.081,5.466,64
24,2023-02-21,2.733,4.464,1.197,64
25,2023-03-23,10.408,12.846,-3.547,64
26,2023-04-06,-1.256,-1.313,3.128,62
27,2023-07-06,7.600,10.919,3.569,64
28,2023-10-19,7.075,7.829,-5.953,64
29,2023-12-27,-1.096,3.493,17.411,64
30,2024-04-25,-8.082,-5.424,1.500,64
31,2024-08-01,1.040,0.859,3.308,64
32,2024-09-10,3.619,2.650,1.592,64
33,2025-01-06,3.373,8.372,7.815,64
34,2025-01-14,3.004,4.691,-0.410,64
35,2025-03-03,1.565,2.802,-2.243,64
36,2025-10-15,3.602,7.833,20.600,64
37,2026-03-19,-2.736,-1.562,-4.432,64
38,2026-05-19,-2.954,-4.611,9.718,64
