bi,enddate,ls_base_pct,ls_filt_pct,n
2,2016-12-15,17.366,17.040,54
3,2017-04-10,2.650,2.616,55
4,2017-06-06,3.983,4.049,55
5,2017-11-29,-0.670,-1.089,55
6,2018-02-21,5.191,2.835,55
7,2018-09-17,0.721,-1.562,60
8,2018-10-05,2.198,3.260,60
9,2018-12-18,9.459,16.432,61
10,2019-08-27,11.270,5.471,61
11,2019-11-08,7.002,7.300,61
12,2020-02-21,13.472,12.848,61
13,2020-03-09,6.354,4.182,62
14,2020-11-02,-0.279,-3.152,63
15,2021-03-31,10.416,15.838,63
16,2021-08-03,-1.730,-2.901,63
17,2021-10-20,3.021,6.436,63
18,2022-01-04,-2.752,-1.766,64
19,2022-06-14,13.266,24.717,64
20,2022-08-01,1.189,-2.168,64
21,2022-09-02,-0.492,0.141,64
22,2022-10-24,3.990,11.045,64
23,2023-01-18,5.008,-2.349,64
24,2023-02-21,5.843,8.062,64
25,2023-03-23,7.458,6.240,64
26,2023-04-06,-0.212,-0.557,64
27,2023-07-06,8.565,11.374,64
28,2023-10-19,7.240,9.388,64
29,2023-12-27,1.294,0.696,64
30,2024-04-25,-3.779,-1.137,64
31,2024-08-01,3.826,0.259,64
32,2024-09-10,3.619,2.650,64
33,2025-01-06,10.712,15.481,64
34,2025-01-14,0.288,1.855,64
35,2025-03-03,-0.522,0.598,64
36,2025-10-15,3.602,7.833,64
37,2026-03-19,-2.736,-1.562,64
38,2026-05-19,-2.954,-4.611,64
