date,r_base,r_logic
2018-06-01,0.007491,0.002653
2018-06-04,0.00335,0.000492
2018-06-05,1.3e-05,0.004754
2018-06-06,0.006708,0.011403
2018-06-07,-0.00393,0.004586
2018-06-08,0.0008,-0.003286
2018-06-11,-0.001469,-0.003153
2018-06-12,-0.003819,-0.009174
2018-06-13,0.003107,0.003188
2018-06-15,0.001644,-0.005696
2018-06-18,-0.002167,-0.004868
2018-06-19,0.004018,0.003699
2018-06-20,-0.000156,0.000605
2018-06-21,0.002634,0.006045
2018-06-22,-0.005739,0.002636
2018-06-25,0.004036,0.013193
2018-06-26,-0.001713,-0.003265
2018-06-27,-0.007455,0.004499
2018-06-28,0.005274,0.00089
2018-06-29,0.003667,0.0094
2018-07-02,0.002946,9.8e-05
2018-07-03,0.006252,0.008609
2018-07-06,0.000282,0.001376
2018-07-09,0.003662,0.009871
2018-07-10,0.000551,-0.003314
2018-07-11,-0.006465,-0.00382
2018-07-12,0.006888,0.009273
2018-07-13,-0.002848,-0.002139
2018-07-16,0.000704,0.006912
2018-07-17,0.002367,0.005384
2018-07-18,-0.001834,0.003506
2018-07-20,0.001075,0.003585
2018-07-23,-0.003621,-0.011903
2018-07-24,-0.003319,0.007507
2018-07-25,-0.000879,-0.006379
2018-07-27,0.00452,0.009797
2018-07-30,-0.001228,0.007132
2018-07-31,0.006081,0.011322
2018-08-01,-0.000593,-0.00167
2018-08-03,-0.005302,-0.007108
2018-08-06,0.004019,0.004229
2018-08-07,0.000815,-0.000356
2018-08-08,-0.001178,-0.002175
2018-08-09,-0.00479,0.001216
2018-08-10,0.002665,-0.000303
2018-08-13,-0.000134,-0.007378
2018-08-14,0.002849,0.001142
2018-08-15,-0.007566,-0.020579
2018-08-17,-0.001832,-0.006927
2018-08-20,-0.001265,-0.0019
2018-08-21,0.000667,0.011229
2018-08-22,-0.003178,0.008731
2018-08-24,0.007084,0.017687
2018-08-27,0.000805,0.009766
2018-08-28,0.000396,-0.008708
2018-08-29,0.001114,0.002037
2018-08-30,-7e-06,-0.007133
2018-08-31,-0.000876,-0.008069
2018-09-04,-0.001479,-0.015143
2018-09-05,-0.004236,-0.001827
2018-09-06,0.004352,0.002668
2018-09-07,-0.000794,-0.004232
2018-09-10,-0.000706,-0.006984
2018-09-11,-0.001058,-0.003563
2018-09-12,0.004399,0.017086
2018-09-14,0.002562,0.003149
2018-09-17,-0.000279,-0.002865
2018-09-18,-0.000731,0.009502
2018-09-19,0.003793,0.014286
2018-09-21,0.001519,-0.005454
2018-09-24,0.002124,-0.013069
2018-09-25,0.002509,-0.001052
2018-09-26,0.001669,0.002909
2018-09-27,0.000394,-0.008625
2018-09-28,-0.003691,-0.001785
2018-10-01,0.00297,-0.016699
2018-10-02,-0.010515,-0.02125
2018-10-03,0.01108,0.014128
2018-10-04,-0.001745,0.006305
2018-10-05,-0.004597,-0.00065
2018-10-08,-0.003587,-0.002399
2018-10-09,0.002349,0.003309
2018-10-10,-0.019193,-0.006957
2018-10-11,-0.007783,-0.033505
2018-10-12,0.004027,-0.008829
2018-10-15,-0.005032,-0.007262
2018-10-16,0.000231,0.000235
2018-10-17,-0.000273,-0.006496
2018-10-18,-0.010824,-0.003055
2018-10-19,-0.006425,-0.010561
2018-10-22,0.003585,-0.003145
2018-10-23,-0.015225,-0.006334
2018-10-24,-0.02194,-0.010891
2018-10-26,0.006988,0.016994
2018-10-29,-0.000707,-0.018744
2018-10-30,-0.002937,0.000728
2018-10-31,0.000547,0.008051
2018-11-01,0.012272,0.025792
2018-11-02,0.002896,0.008268
2018-11-05,-0.009794,-0.007217
2018-11-06,0.002251,-0.000466
2018-11-07,0.0035,0.00037
2018-11-08,0.003699,-0.006163
2018-11-09,-0.004606,-0.006571
2018-11-12,-0.008228,-0.020058
2018-11-13,0.006142,0.004501
2018-11-14,-0.013991,-0.002427
2018-11-15,0.0204,0.020892
2018-11-16,-0.007857,-0.003215
2018-11-19,-0.006924,-0.006327
2018-11-20,0.006704,-0.003586
2018-11-21,-0.003939,0.00295
2018-11-23,0.006885,-0.000528
2018-11-26,0.002285,-0.000455
2018-11-27,-0.001006,-0.010066
2018-11-28,0.00037,0.005425
2018-11-29,-0.001073,0.000306
2018-11-30,0.009624,0.008759
2018-12-03,0.00229,0.016186
2018-12-04,-0.005647,-0.010542
2018-12-07,0.004004,0.037608
2018-12-10,0.008827,-0.003219
2018-12-11,0.002432,0.00214
2018-12-12,0.002406,0.005614
2018-12-13,0.002921,0.014155
2018-12-14,0.0102,0.015156
2018-12-17,0.000996,0.046039
2018-12-18,0.008472,0.028744
2018-12-19,0.000294,-0.028894
2018-12-20,0.011784,0.064123
2018-12-21,-0.002663,0.009083
2018-12-24,0.009268,0.051536
2018-12-26,-0.010235,-0.067905
2018-12-27,0.004305,0.009253
2018-12-28,0.004293,-0.025733
2018-12-31,0.005156,0.018211
2019-01-02,-0.009423,-0.010573
2019-01-03,0.008156,0.050897
2019-01-04,-0.010887,-0.055757
2019-01-07,0.001608,-0.032779
2019-01-08,0.000706,-0.003946
2019-01-09,-0.004204,0.005262
2019-01-10,0.000499,-0.025819
2019-01-11,-0.001212,-0.007652
2019-01-14,-0.011636,0.001965
2019-01-15,0.007043,-0.019375
2019-01-16,-0.006661,-0.013941
2019-01-17,-0.004238,-0.010516
2019-01-18,-0.009529,-0.014954
2019-01-22,0.009108,0.0151
2019-01-23,0.004331,0.002883
2019-01-25,0.015489,0.018651
2019-01-28,0.000589,0.004304
2019-01-29,-0.004738,0.011505
2019-01-30,0.010047,0.011702
2019-01-31,0.008593,0.011468
2019-02-01,-0.004117,-0.005994
2019-02-04,0.00524,-0.001701
2019-02-05,0.006355,0.002663
2019-02-06,0.002835,-0.006802
2019-02-07,-0.007233,-0.005565
2019-02-08,0.000212,0.003745
2019-02-11,-0.004357,-0.014319
2019-02-12,0.002856,-0.003533
2019-02-13,-0.00151,-0.002341
2019-02-14,0.006025,0.010759
2019-02-15,-0.007502,-0.003764
2019-02-19,0.010385,0.018501
2019-02-20,0.002965,0.012075
2019-02-21,-0.001675,-0.007535
2019-02-22,0.008825,0.00493
2019-02-25,0.005355,-0.002594
