start,end,quadrant
2018-05-31,2018-06-13,TG
2018-06-14,2018-07-04,RC
2018-07-05,2018-07-18,ST
2018-07-19,2018-07-25,RC
2018-07-26,2018-08-01,TG
2018-08-02,2018-08-15,RF
2018-08-16,2018-08-22,TG
2018-08-23,2018-09-12,RC
2018-09-13,2018-09-19,TG
2018-09-20,2018-10-24,RF
2018-10-25,2018-12-05,TG
2018-12-06,2019-01-23,RC
2019-01-24,2019-03-27,ST
2019-03-28,2019-04-17,RC
2019-04-18,2019-05-08,ST
2019-05-09,2019-05-15,TG
2019-05-16,2019-07-17,RC
2019-07-18,2019-08-07,ST
2019-08-08,2019-09-18,RC
2019-09-19,2019-10-02,RF
2019-10-03,2019-10-23,TG
2019-10-24,2019-11-27,RF
2019-11-28,2020-01-29,ST
2020-01-30,2020-03-18,RC
2020-03-19,2020-04-08,TG
2020-04-09,2020-04-15,RC
2020-04-16,2020-09-16,ST
2020-09-17,2020-09-23,RF
2020-09-24,2020-10-14,TG
2020-10-15,2020-12-02,RF
2020-12-03,2021-02-03,ST
2021-02-04,2021-02-10,RF
2021-02-11,2021-02-17,ST
2021-02-18,2021-04-14,RF
2021-04-15,2021-06-09,ST
2021-06-10,2021-06-16,RC
2021-06-17,2021-07-07,TG
2021-07-08,2021-07-28,RC
2021-07-29,2021-08-25,ST
2021-08-26,2021-09-08,TG
2021-09-09,2021-09-22,RF
2021-09-23,2021-09-29,TG
2021-09-30,2021-10-27,RF
2021-10-28,2021-12-01,ST
2021-12-02,2021-12-08,RC
2021-12-09,2022-01-05,TG
2022-01-06,2022-01-19,RF
2022-01-20,2022-02-23,TG
2022-02-24,2022-03-02,RF
2022-03-03,2022-03-30,ST
2022-03-31,2022-05-04,RF
2022-05-05,2022-07-27,TG
2022-07-28,2022-08-03,RC
2022-08-04,2022-08-31,ST
2022-09-01,2022-09-14,RF
2022-09-15,2022-10-26,TG
2022-10-27,2022-11-16,RF
2022-11-17,2022-11-23,ST
2022-11-24,2022-12-28,RC
2022-12-29,2023-01-18,TG
2023-01-19,2023-01-25,RC
2023-01-26,2023-02-15,ST
2023-02-16,2023-03-15,RF
2023-03-16,2023-03-22,TG
2023-03-23,2023-05-03,RC
2023-05-04,2023-07-05,TG
2023-07-06,2023-07-26,RF
2023-07-27,2023-08-02,ST
2023-08-03,2023-08-30,RF
2023-08-31,2023-09-20,TG
2023-09-21,2023-11-08,RF
2023-11-09,2023-11-15,ST
2023-11-16,2024-01-10,RC
2024-01-11,2024-01-24,ST
2024-01-25,2024-03-13,RF
2024-03-14,2024-03-20,ST
2024-03-21,2024-03-27,RF
2024-03-28,2024-04-03,ST
2024-04-04,2024-05-08,RF
2024-05-09,2024-05-22,TG
2024-05-23,2024-07-18,RC
2024-07-19,2024-08-01,ST
2024-08-02,2024-09-26,RC
2024-09-27,2024-10-10,ST
2024-10-11,2024-11-28,RF
2024-11-29,2024-12-05,TG
2024-12-06,2024-12-19,RC
2024-12-20,2024-12-26,TG
2024-12-27,2025-01-30,RF
2025-01-31,2025-02-27,ST
2025-02-28,2025-04-10,RC
2025-04-11,2025-05-08,TG
2025-05-09,2025-06-20,RF
2025-06-23,2025-07-11,RC
2025-07-14,2025-08-15,ST
2025-08-18,2025-08-29,RC
2025-09-01,2025-09-12,ST
2025-09-15,2025-10-31,RC
2025-11-03,2026-01-09,TG
2026-01-12,2026-01-16,RF
2026-01-19,2026-01-23,ST
2026-01-26,2026-02-13,RF
2026-02-16,2026-02-20,ST
2026-02-23,2026-03-13,RC
2026-03-16,2026-03-20,ST
2026-03-23,2026-04-24,RF
2026-04-27,2026-05-15,ST
2026-05-18,2026-06-01,RF
2026-06-02,2026-07-23,TG
