beta,lookback,favor_tercile,recent_tercile,avg_fwd_excess_pct,n
expanding,prior_regime,1,1,-0.805,267
expanding,prior_regime,1,2,-0.809,202
expanding,prior_regime,1,3,-2.556,247
expanding,prior_regime,2,1,-0.250,205
expanding,prior_regime,2,2,0.483,290
expanding,prior_regime,2,3,-0.714,195
expanding,prior_regime,3,1,2.103,244
expanding,prior_regime,3,2,0.771,198
expanding,prior_regime,3,3,1.553,247
expanding,2W,1,1,-1.245,242
expanding,2W,1,2,-1.314,223
expanding,2W,1,3,-1.655,251
expanding,2W,2,1,-0.033,227
expanding,2W,2,2,0.401,266
expanding,2W,2,3,-0.759,197
expanding,2W,3,1,-0.011,247
expanding,2W,3,2,1.981,201
expanding,2W,3,3,2.713,241
