lookback,favor_tercile,recent_tercile,avg_fwd_excess_pct,n
prior_regime,1,1,-0.932,284
prior_regime,1,2,-1.169,239
prior_regime,1,3,-3.984,259
prior_regime,2,1,-0.167,228
prior_regime,2,2,0.787,307
prior_regime,2,3,-0.863,218
prior_regime,3,1,2.134,270
prior_regime,3,2,1.717,207
prior_regime,3,3,2.235,275
1M,1,1,-1.984,277
1M,1,2,-0.620,248
1M,1,3,-2.996,242
1M,2,1,-0.393,230
1M,2,2,-0.022,278
1M,2,3,0.557,230
1M,3,1,1.498,260
1M,3,2,1.031,212
1M,3,3,2.983,265
2W,1,1,-1.884,273
2W,1,2,-1.886,239
2W,1,3,-2.226,273
2W,2,1,0.489,226
2W,2,2,0.518,297
2W,2,3,-1.100,233
2W,3,1,0.853,286
2W,3,2,2.014,220
2W,3,3,3.532,249
1W,1,1,-2.926,281
1W,1,2,-0.834,242
1W,1,3,-2.065,263
1W,2,1,0.697,242
1W,2,2,-0.101,285
1W,2,3,-0.592,229
1W,3,1,0.779,263
1W,3,2,1.513,229
1W,3,3,3.848,263
