date,r_base,r_logic
2016-10-04,0.015948,0.017438
2016-10-05,0.009883,-0.023953
2016-10-06,0.007358,-0.001346
2016-10-07,-0.003667,0.02446
2016-10-10,-0.000364,-0.011077
2016-10-11,0.002087,0.000184
2016-10-12,-0.003279,0.007082
2016-10-13,-0.009533,-0.019392
2016-10-14,0.004637,0.004015
2016-10-17,-0.003902,-0.004619
2016-10-18,-0.002666,-0.004487
2016-10-19,0.00938,-0.004501
2016-10-20,0.000842,-0.000517
2016-10-21,0.003142,0.007827
2016-10-24,0.004978,0.028399
2016-10-25,-0.00274,0.007017
2016-10-26,0.00663,0.009358
2016-10-27,0.004676,0.007861
2016-10-28,-0.005691,0.007117
2016-10-31,-0.004048,0.014994
2016-11-01,-0.001717,-0.002402
2016-11-02,-0.001372,-0.005524
2016-11-03,0.010178,0.02461
2016-11-04,-0.006457,0.005581
2016-11-07,0.013699,0.005517
2016-11-08,0.002186,-0.013934
2016-11-09,0.016394,0.095681
2016-11-10,0.020914,0.043014
2016-11-11,0.020907,0.019918
2016-11-14,0.008849,0.022988
2016-11-15,0.007031,-0.007577
2016-11-16,-0.000699,-0.004615
2016-11-17,0.007697,0.022419
2016-11-18,0.005197,0.008301
2016-11-21,0.005675,0.016633
2016-11-22,0.006623,-0.005816
2016-11-23,0.007327,-0.011626
2016-11-25,-0.008633,-0.01279
2016-11-28,-0.01365,-0.013132
2016-11-29,-0.002643,0.02173
2016-11-30,0.029382,0.006637
2016-12-01,0.007958,0.021263
2016-12-02,-0.005049,-0.001553
2016-12-05,0.002173,-0.00817
2016-12-06,0.003002,-0.001938
2016-12-07,0.004248,-0.005165
2016-12-08,0.00355,-0.002344
2016-12-09,0.002417,0.007464
2016-12-12,-0.006788,0.003985
2016-12-13,0.001898,0.005225
2016-12-14,0.002148,0.015212
2016-12-15,0.014432,0.004924
2016-12-16,-0.007312,-0.017751
2016-12-20,0.001036,-0.000237
2016-12-21,-0.002773,0.003347
2016-12-22,-0.005614,-0.009379
2016-12-23,-0.005349,0.001032
2016-12-27,0.00677,0.012111
2016-12-28,-0.001063,0.005163
2016-12-29,0.007763,0.02052
2016-12-30,-0.009794,-0.018363
2017-01-03,0.013867,0.01969
2017-01-04,0.00724,0.007323
2017-01-05,0.014139,0.035366
2017-01-06,-0.004282,-0.016811
2017-01-09,0.007337,0.006764
2017-01-10,0.004466,0.016658
2017-01-11,0.002405,-0.001373
2017-01-12,1.5e-05,0.005024
2017-01-13,0.004658,0.006365
2017-01-17,0.004057,0.008415
2017-01-19,0.001196,-0.004479
2017-01-20,-0.000534,0.003147
2017-01-23,0.000707,-0.011216
